文本编号,单词数量-DESWC-03,句子数量-DESSC-02,年级,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,复杂度-K,句子长度-DESSL（06）,短语长度-PhraseLength,短语密度-PhraseDensity,句子结构-SentenceStructure,句法相似-SYNSTRUT,局部连贯-LocalCoherence,整体连贯-GlobalCoherence,因果衔接-SMCAUSr-64,意图衔接-SMINTEr-65,时体衔接-SMTEMP-68,段落平均长度-DESPL-04,段落平均长度标准差-DESPLd-05
14.txt,212.0,14.0,1,82.52700043,2.240999937,3.6378490244391912,15.14299965,1.939500064,237.42134093333337,6.289333343666667,0.1209999995,,,0.166999996,0.625,0.88499999,7.0,2.828000069
14.txt,186.0,15.0,2,92.94100189,2.210000038,3.80310265847632,12.33300018,2.2940000295,225.80633036333333,5.376333396,0.0899999995,0.240999999,-0.1713210018530394,0.286000013,0.5,0.82099998,7.5,3.536000013
14.txt,180.0,15.0,3,78.30400085,2.253999949,-1.0474585254415416,11.93299961,2.1899999675,218.51833091333336,20.37066666433333,0.1115000025,0.2383333346666667,0.0599822375861369,0.125,0.222000003,0.713999987,7.5,2.121000051
15.txt,206.0,16.0,1,99.375,2.431999922,5.659923039475416,12.93799973,2.2795000075,199.02932993,11.326666516666668,0.167999998,0.2366666643333333,-0.0025789030483394,0.713999987,0.555999994,0.76700002,8.0,1.414000034
15.txt,197.0,14.0,2,75.21099854,2.125,-2.0198353287640174,14.0710001,2.1075000465,223.35033163333333,3.384000143333333,0.131500002,0.2240000043333333,-0.062171596109684,0.222000003,0.090999998,0.846000016,7.0,2.828000069
15.txt,184.0,12.0,3,80.48999786,2.220000029,1.5765602280046522,15.25,2.2289999725,222.82567089,3.623333296666667,0.1105,0.4086666676666666,0.3463510195904128,0.200000003,0.181999996,0.908999979,6.0,1.414000034
16.txt,212.0,11.0,1,96.17099762,2.339999914,4.887508368066477,19.27300072,1.436500013,221.69832868,4.717000006666667,0.095999997,,,0.100000001,0.375,0.949999988,5.5,0.707000017
16.txt,193.0,17.0,2,84.47799683,2.444000006,2.4425779594947272,11.35299969,2.017999977,236.6150004033333,13.816667081,0.1445000025,0.1550000013333333,-0.1232909355043525,0.333000004,0.273000002,0.75,8.5,4.949999809
16.txt,191.0,12.0,3,92.07800293,2.24000001,-3.4657187694527636,16.0,2.211000025,219.89533233333336,10.471333186666667,0.1279999985,0.2733333383333333,0.1828984109973604,0.5,0.666999996,0.908999979,6.0,0.0
17.txt,164.0,13.0,1,78.78600311,2.252000093,-2.557783182667592,12.61499977,1.6519999505,209.3493347333333,6.09800005,0.1950000005,0.3269999973333333,0.0953073763179419,0.400000006,0.111000001,1.0,6.5,2.121000051
17.txt,160.0,12.0,2,104.5469971,2.089999914,-3.610043447677725,13.33300018,2.519000083,214.58333333333337,8.333333333333334,0.067500001,0.3373333313333333,-0.0536805957140373,0.286000013,0.57099998,0.773000002,6.0,1.414000034
