文本编号,句子长度-DESSL（06）,年级,短语长度-PhraseLength,短语密度-PhraseDensity,句子结构-SentenceStructure,句法相似-SYNSTRUT
46.txt,15.80000019,2,1.1659999785,225.05299888000002,16.98499949933333,0.07350000000000001
47.txt,8.118000031,2,1.7669999895000001,236.71466320000002,2.415333271,0.1494999975
48.txt,10.56299973,2,1.240500003,222.22200266000002,9.920666376666667,0.097000003
49.txt,14.0,2,2.0424999595,210.9706675333333,5.625666617666667,0.08549999850000001
5.txt,13.0909996,2,2.8009999094999998,217.59266662666667,11.573999882333332,0.12800000250000002
50.txt,11.83300018,2,1.7025000449999999,232.70433553333336,6.289333343666667,0.1635000035
51.txt,11.58300018,2,2.647000104,213.42933401333332,2.3979999223333333,0.1064999995
52.txt,16.33300018,2,1.396500021,222.98833210333336,13.793333528666665,0.096500002
53.txt,12.69999981,2,2.2035000325,244.0943298,10.498666604,0.125500001
54.txt,14.38500023,2,2.2060000300000002,230.07232921333332,18.11600049333333,0.1219999975
55.txt,10.93299961,2,2.003499985,224.28000384000003,18.51866610966667,0.148000002
56.txt,14.53800011,2,3.0369999109999997,220.45833588666667,10.582000093333333,0.10050000249999999
57.txt,9.713999748,2,1.4140000044999999,235.29399618000002,4.90200011,0.133999996
58.txt,14.25,2,2.2364999655,226.12066396666668,11.69600026,0.1489999965
59.txt,16.0,2,2.1950000225,206.73100283333335,6.410333633333334,0.136
6.txt,11.27299976,2,1.477000028,224.0,10.666666666666666,0.13150000550000002
60.txt,16.33300018,2,2.516000062,229.02500153333335,11.338000137666667,0.0940000005
61.txt,13.11100006,2,1.972500026,230.22600303333334,7.062000273333333,0.129999999
62.txt,14.92300034,2,2.4279999735,243.52367145000002,6.908333301,0.098999999
63.txt,13.23099995,2,1.4075000284999999,236.43399810666665,5.813999813333333,0.11500000199999999
64.txt,14.30000019,2,2.8790000974999996,233.09999847666668,4.6620000206666665,0.1314999985
68.txt,11.28600025,2,1.933000058,251.05466716666663,10.548333325333333,0.138000004
69.txt,16.77799988,2,3.2249999645,217.00200398666667,8.948333582,0.1059999985
