文本编号,年级,局部连贯-LocalCoherence,整体连贯-GlobalCoherence
69.txt,1,0.272000007,-0.12628100158509592
7.txt,1,0.3800000003333333,0.16242441429638277
70.txt,1,0.289999992,-0.015929177989610355
71.txt,1,0.29233333233333336,0.010772233141086662
72.txt,1,0.241333337,-0.08543784160716317
73.txt,1,0.4086666753333333,0.14565184900991124
74.txt,1,0.11133333533333334,-0.3422418228068733
75.txt,1,0.19933333266666667,-0.231732108367242
76.txt,1,0.3630000056666666,0.1535413109644247
77.txt,1,0.41766666599999996,0.23331140777049453
78.txt,1,0.24399999533333336,-0.04765465991307405
79.txt,1,0.29466666766666666,0.001741097400383751
8.txt,1,0.34266667300000003,0.07689749552703018
81.txt,1,0.22033333533333332,-0.05718890649329522
82.txt,1,0.299333334,-0.1553092497806423
83.txt,1,0.353666673,0.04793203213335462
84.txt,1,0.224999999,-0.15413075782799723
85.txt,1,0.29900000499999996,0.04842947880517334
86.txt,1,0.25699999933333334,0.01547298408929998
87.txt,1,0.24900000033333333,-0.053411854546481896
88.txt,1,0.3390000016666667,0.327207699513697
89.txt,1,0.25799999366666665,0.08768158920273017
9.txt,1,0.295000002,0.0142456470806831
90.txt,1,0.27533333266666665,-0.1963218786103197
91.txt,1,0.20766666266666667,-0.07490570097473415
92.txt,1,0.16866667100000002,-0.14431806382190204
93.txt,1,0.236666677,0.04263836204067173
94.txt,1,0.34033333266666665,0.22707461099168058
95.txt,1,0.44999999766666665,0.19252836041687071
96.txt,1,0.219333342,-0.14309862040119148
97.txt,1,0.3096666636666667,0.047813170441904806
99.txt,1,0.18166667,-0.03413969321085175
10.txt,2,0.27366667466666666,-0.23453107068071227
100.txt,2,0.30733333766666665,0.001819448423568737
11.txt,2,0.283000005,0.017813538537649998
13.txt,2,0.31766665966666663,0.046167776020343054
14.txt,2,0.24099999900000002,-0.1713210018530394
15.txt,2,0.22400000433333334,-0.062171596109684035
16.txt,2,0.15500000133333333,-0.12329093550435255
17.txt,2,0.3373333313333333,-0.05368059571403738
18.txt,2,0.19233333566666666,-0.15820000714123222
19.txt,2,0.349999999,0.1891814498746982
2.txt,2,0.300999999,0.10709902242977054
20.txt,2,0.3380000046666667,-0.06063674430111854
21.txt,2,0.20266667033333333,-0.13922090881965687
22.txt,2,0.2426666593333333,0.07570000907319963
23.txt,2,0.36399999766666663,0.11829460743575937
24.txt,2,0.19100000466666667,-0.1410573052440065
25.txt,2,0.3579999956666666,-0.07046258263971139
26.txt,2,0.3509999959999999,0.0750516867708253
27.txt,2,0.199000001,-0.20937855022433316
28.txt,2,0.28833333666666666,0.07296640461231163
29.txt,2,0.288,-0.24766417897066512
3.txt,2,0.316666663,0.14823952393140938
32.txt,2,0.16899999733333335,-0.10568955187989393
33.txt,2,0.4373333353333333,0.2964390029081476
34.txt,2,0.3946666693333334,0.3069806773329382
35.txt,2,0.35233333966666663,-0.024661847911123802
36.txt,2,0.2556666583333333,-0.0011057658802046122
37.txt,2,0.3303333296666667,0.16083230805740034
38.txt,2,0.1713333326666667,-0.08023786993020077
39.txt,2,0.2130000046666667,-0.11815393060162305
40.txt,2,0.10733333466666667,-0.20106947756012078
41.txt,2,0.22333332866666666,-0.17749750786777047
42.txt,2,0.18199999666666666,-0.20317073846758915
43.txt,2,0.09700000033333334,-0.2657753457924548
44.txt,2,0.3543333313333334,0.02848046444532193
45.txt,2,0.157666666,-0.18298585543118584
46.txt,2,0.4366666676666666,0.2899166576947344
47.txt,2,0.10499999933333333,-0.3267998798217412
48.txt,2,0.161666669,-0.2556435377770923
49.txt,2,0.251666665,-0.09107872956388452
