文本编号,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,年级,复杂度-K
50.txt,87.6989975,2.267999887,1,2.520554913713184
52.txt,106.663002,2.381000042,1,0.1689543524810233
53.txt,113.189003,2.453000069,1,3.529395951316161
54.txt,79.01699829,2.338999987,1,4.2110947306196636
55.txt,86.85099792,2.260999918,1,0.9183453483854578
56.txt,72.25299835,2.296000004,1,-1.7418770073803103
57.txt,82.22200012,2.388999939,1,5.964450842857559
59.txt,92.2440033,2.328000069,1,-0.9480260025794109
6.txt,70.61799622,2.328000069,1,2.9177180992508625
60.txt,79.30899811,2.275000095,1,-0.7054248967117047
61.txt,67.5739975,2.308000088,1,3.6295289515236533
62.txt,100.6029968,2.453999996,1,5.2331717087573395
63.txt,79.2559967,2.390000105,1,4.565191797524662
64.txt,86.58799744,2.397000074,1,1.2772534065275067
65.txt,93.72799683,2.308000088,1,1.4732451891893845
66.txt,86.97299957,2.440999985,1,1.715415964941613
67.txt,74.19999695,2.181999922,1,0.8280955910875463
68.txt,68.87400055,2.434000015,1,1.3447035018923401
69.txt,89.41100311,2.243000031,1,-1.5757185689056712
7.txt,86.15299988,2.328000069,1,4.736870366954292
70.txt,89.10099792,2.361999989,1,3.4120891098314274
72.txt,74.20700073,2.306999922,1,0.976029862163287
73.txt,95.1969986,2.421999931,1,4.204964067446113
74.txt,101.0210037,2.332000017,1,0.9371493053173339
75.txt,104.3460007,2.411999941,1,3.8171771266005265
76.txt,73.40299988,2.463000059,1,7.966087519925537
77.txt,68.25499725,2.309000015,1,5.382945922276633
79.txt,98.17099762,2.203999996,1,1.0277869526961183
8.txt,79.10700226,2.178999901,1,3.0303942431339266
80.txt,74.30500031,2.525000095,1,3.719108305276251
81.txt,80.07499695,2.410000086,1,1.844513548659549
82.txt,108.9779968,2.217000008,1,-3.975643264521466
83.txt,76.37400055,2.448999882,1,6.973885661004658
84.txt,74.3219986,2.434999943,1,3.775136605691486
85.txt,74.48799896,2.371000051,1,2.3709076017200488
86.txt,84.14800262,2.338999987,1,2.688638680815856
87.txt,105.2509995,2.332999945,1,-2.149462183211199
89.txt,69.35800171,2.375999928,1,3.3501724060002687
9.txt,97.65799713,2.332000017,1,0.46047694950046036
90.txt,80.32700348,2.309000015,1,0.1536983330889683
91.txt,94.57900238,2.280999899,1,-3.1579441464980533
92.txt,115.9349976,2.411999941,1,3.3024427284427844
93.txt,88.85900116,2.322999954,1,-1.666046475069706
94.txt,79.15100098,2.201999903,1,-1.973121196116395
95.txt,68.79199982,2.461999893,1,6.23770858730127
96.txt,83.43599701,2.289999962,1,4.286241615801487
97.txt,86.46299744,2.453000069,1,4.628156288149981
98.txt,109.7279968,2.328000069,1,3.484048915388044
99.txt,100.3339996,2.260999918,1,1.4688401142269214
1.txt,66.0510025,2.302000046,2,1.970583609561018
10.txt,81.03500366,2.095000029,2,-2.830761875720455
11.txt,69.28099823,2.188999891,2,0.46222885887826237
12.txt,79.52300262,2.214999914,2,-3.1414783338086636
13.txt,88.6210022,2.085999966,2,-3.3742400997913364
14.txt,92.94100189,2.210000038,2,3.8031026584763197
15.txt,75.21099854,2.125,2,-2.0198353287640174
16.txt,84.47799683,2.444000006,2,2.4425779594947272
17.txt,104.5469971,2.089999914,2,-3.6100434476777252
18.txt,69.88600159,2.282000065,2,0.17433853037621816
2.txt,73.56800079,2.414000034,2,1.8782849686071046
