文本编号,局部连贯-CRFAO1（29）,局部连贯-CRFSO1（30）,局部连贯-LSASS1(40),整体连贯-CRFAOa（32）,整体连贯-CRFSOa（33）,整体连贯-LSASSp（42）,整体连贯-LSAPP1（44）,整体连贯-LSAGN（46）,年级
37.txt,0.73299998,0.067000002,0.158000007,0.513999999,0.094999999,0.112000003,0.508000016,0.273000002,1
38.txt,0.666999996,0.067000002,0.116999999,0.504999995,0.067000002,0.116999999,0.416000009,0.272000015,1
39.txt,0.5,0.0,0.108000003,0.538999975,0.017000001,0.103,0.370999992,0.25,1
4.txt,0.888999999,0.333000004,0.189999998,0.95599997,0.26699999,0.189999998,0.616999984,0.294999987,1
40.txt,0.5,0.166999996,0.085000001,0.467000008,0.111000001,0.094999999,0.476000011,0.261000007,1
41.txt,0.666999996,0.166999996,0.134000003,0.652999997,0.107000001,0.108999997,0.326999992,0.239999995,1
42.txt,0.5,0.082999997,0.103,0.652999997,0.119999997,0.093999997,0.513999999,0.247999996,1
43.txt,0.625,0.125,0.136000007,0.694000006,0.194000006,0.177000001,0.514999986,0.268999994,1
44.txt,0.73299998,0.067000002,0.136000007,0.713999987,0.086000003,0.122000001,0.486000001,0.256000012,1
45.txt,0.5,0.100000001,0.061000001,0.400000006,0.144999996,0.101000004,0.433999985,0.268999994,1
46.txt,0.462000012,0.077,0.131999999,0.458999991,0.175999999,0.108999997,0.374000013,0.246999994,1
47.txt,0.352999985,0.118000001,0.118000001,0.504000008,0.079999998,0.111000001,0.340999991,0.268000007,1
48.txt,0.333000004,0.0,0.072999999,0.400000006,0.067000002,0.089000002,0.277999997,0.237000003,1
49.txt,0.545000017,0.0,0.048999999,0.462000012,0.061999999,0.059,0.368000001,0.202000007,1
5.txt,0.916999996,0.333000004,0.175999999,0.852999985,0.226999998,0.189999998,0.462000012,0.308999985,1
50.txt,0.699999988,0.0,0.094999999,0.726999998,0.072999999,0.120999999,0.43599999,0.232999995,1
51.txt,0.713999987,0.0,0.054000001,0.64200002,0.063000001,0.104999997,0.381999999,0.254000008,1
52.txt,0.61500001,0.153999999,0.165999994,0.552999973,0.059,0.107000001,0.419,0.254999995,1
53.txt,0.635999978,0.181999996,0.066,0.55400002,0.185000002,0.114,0.501999974,0.256999999,1
54.txt,0.600000024,0.100000001,0.096000001,0.726999998,0.164000005,0.150000006,0.476999998,0.266000003,1
55.txt,0.42899999,0.189999998,0.127000004,0.479000002,0.158000007,0.096000001,0.560000002,0.287999988,1
56.txt,0.908999979,0.090999998,0.162,0.846000016,0.137999997,0.185000002,0.430000007,0.27700001,1
57.txt,0.400000006,0.133000001,0.107000001,0.486000001,0.180999994,0.122000001,0.714999974,0.296000004,1
58.txt,0.777999997,0.222000003,0.142000005,0.73299998,0.156000003,0.169,0.444999993,0.256000012,1
59.txt,0.526000023,0.263000011,0.130999997,0.400000006,0.116999999,0.105999999,0.367000014,0.273000002,1
6.txt,0.583000004,0.0,0.130999997,0.693000019,0.093000002,0.135000005,0.50999999,0.264999986,1
60.txt,0.363999993,0.0,0.109999999,0.61500001,0.077,0.126000002,0.340000004,0.246999994,1
61.txt,0.462000012,0.153999999,0.103,0.375999987,0.141000003,0.108000003,0.493000001,0.268999994,1
62.txt,0.583000004,0.082999997,0.136000007,0.479999989,0.079999998,0.101000004,0.340000004,0.248999998,1
63.txt,0.888999999,0.555999994,0.234999999,0.977999985,0.555999994,0.231000006,0.629999995,0.314999998,1
64.txt,0.643000007,0.071000002,0.063000001,0.611000001,0.126000002,0.066,0.606999993,0.25,1
65.txt,0.684000015,0.0,0.079999998,0.662,0.068999998,0.097999997,0.363999993,0.25999999,1
66.txt,0.800000012,0.067000002,0.098999999,0.800000012,0.104999997,0.115000002,0.460999995,0.275999993,1
67.txt,0.591000021,0.181999996,0.125,0.549000025,0.057,0.092,0.550999999,0.252999991,1
68.txt,0.526000023,0.104999997,0.082000002,0.455000013,0.041000001,0.075000003,0.412999988,0.246999994,1
69.txt,0.462000012,0.231000006,0.123000003,0.435000002,0.141000003,0.083999999,0.446999997,0.252000004,1
7.txt,0.888999999,0.111000001,0.140000001,0.755999982,0.067000002,0.120999999,0.35800001,0.246999994,1
70.txt,0.691999972,0.077,0.101000004,0.552999973,0.118000001,0.100000001,0.437999994,0.245000005,1
71.txt,0.666999996,0.082999997,0.127000004,0.587000012,0.147,0.120999999,0.344000012,0.245000005,1
72.txt,0.550000012,0.050000001,0.123999998,0.483999997,0.097000003,0.105999999,0.432000011,0.268000007,1
73.txt,0.846000016,0.231000006,0.149000004,0.717999995,0.200000003,0.119000003,0.333999991,0.264999986,1
74.txt,0.231000006,0.0,0.103,0.259000003,0.012,0.079000004,0.294,0.230000004,1
